"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","Doug McDermott",3000,"Chi@Den 09:00PM ET",7.173
"PG","Ray McCallum",3000,"Sac@NO 08:00PM ET",3.938
"SG","James Ennis",3000,"GS@Mia 07:30PM ET",8.054
"PG","Spencer Dinwiddie",3000,"Det@Mil 08:00PM ET",2.875
"PF","Johnny O'Bryant",3000,"Det@Mil 08:00PM ET",0
"SF","Tony Mitchell",3000,"Det@Mil 08:00PM ET",0
"C","Ognjen Kuzmic",3000,"GS@Mia 07:30PM ET",2.100
"SG","Nik Stauskas",3000,"Sac@NO 08:00PM ET",5.308
"SG","Gary Harris",3000,"Chi@Den 09:00PM ET",14.625
"PG","Dennis Schroder",3000,"Atl@Was 07:00PM ET",15.300
"C","Pero Antic",3000,"Atl@Was 07:00PM ET",11.025
"C","Jusuf Nurkic",3000,"Chi@Den 09:00PM ET",10.156
"SF","Damien Inglis",3000,"Det@Mil 08:00PM ET",0
