SG,Sergey Karasev,1.9,6,CLE@BKN,"$3,500"
SG,Kent Bazemore,6.3,13,ATL@IND,"$3,500"
C,Shayne Whittington,7.2,6,ATL@IND,"$3,500"
PG,Dante Exum,9.7,20,UTA@SAC,"$3,500"
PG,Archie Goodwin,5.4,9,PHO@LAC,"$3,500"
PG,Matthew Dellavedova,8,3,CLE@BKN,"$3,500"
C,Pero Antic,9.8,16,ATL@IND,"$3,500"
PG,Tyler Ennis,4.4,4,PHO@LAC,"$3,500"
C,Jusuf Nurkic,8.9,9,DEN@TOR,"$3,500"
C,Alex Kirk,1.8,3,CLE@BKN,"$3,500"
SG,Alan Anderson,7.7,18,CLE@BKN,"$3,500"
SG,Nemanja Nedovic,2.2,24,GS@MIN,"$3,500"
SF,Bruno Caboclo,10.2,1,DEN@TOR,"$3,500"
PG,Toure' Murry,5.3,51,UTA@SAC,"$3,500"
PG,Will Cherry,5.4,8,CLE@BKN,"$3,500"
PG,Ray McCallum,4.2,12,UTA@SAC,"$3,500"
SF,James Young,3.4,5,BOS@WAS,"$3,500"
C,Ekpe Udoh,1.6,9,PHO@LAC,"$3,500"
SF,Hedo Turkoglu,5.3,15,PHO@LAC,"$3,500"
PG,Andre Miller,10.9,18,BOS@WAS,"$3,500"
PF,Louis Amundson,4.7,6,CLE@BKN,"$3,500"
SG,Leandro Barbosa,10.4,17,GS@MIN,"$3,500"
SF,Andrei Kirilenko,2.2,7,CLE@BKN,"$3,500"
SF,Mike Miller,4.4,13,CLE@BKN,"$3,500"
SF,James Jones,4.8,4,CLE@BKN,"$3,500"
PG,A.J. Price,14.6,11,CLE@BKN,"$3,500"
C,Brendan Haywood,4.3,4,CLE@BKN,"$3,500"
C,JaVale McGee,10.6,14,DEN@TOR,"$3,500"
SF,Chris Douglas-Roberts,4.5,4,PHO@LAC,"$3,500"
C,Ryan Hollins,5,12,UTA@SAC,"$3,500"
C,Ronny Turiaf,2.1,2,GS@MIN,"$3,500"
PF,Drew Gooden,12.2,12,BOS@WAS,"$3,500"
SF,Gerald Wallace,1.5,8,BOS@WAS,"$3,500"
PF,Glen Davis,6.8,14,PHO@LAC,"$3,500"
PF,Carl Landry,14.1,20,UTA@SAC,"$3,500"
C,Chuck Hayes,6.3,12,DEN@TOR,"$3,500"
PF,Shavlik Randolph,3.5,10,PHO@LAC,"$3,500"
PG,Jordan Farmar,9.2,18,PHO@LAC,"$3,500"
PF,Tyler Hansbrough,8,15,DEN@TOR,"$3,500"
SG,Brandon Rush,3.2,10,GS@MIN,"$3,500"
SF,Steve Novak,3.2,12,UTA@SAC,"$3,500"
PF,Anthony Tolliver,6,19,PHO@LAC,"$3,500"
SF,Rodney Hood,10.9,10,UTA@SAC,"$3,500"
SG,Glen Rice Jr.,3.4,5,BOS@WAS,"$3,500"
C,Mason Plumlee,13.1,18,CLE@BKN,"$3,500"
PG,Jorge Gutierrez,3.5,8,CLE@BKN,"$3,500"
SF,Reggie Bullock,5.3,12,PHO@LAC,"$3,500"
SG,Markel Brown,3.9,2,CLE@BKN,"$3,500"
PF,Dwight Powell,3.1,3,BOS@WAS,"$3,500"
SF,Robbie Hummel,7.6,15,GS@MIN,"$3,500"
PF,Eric Moreland,0.6,2,UTA@SAC,"$3,500"
SG,Jared Cunningham,2.9,12,PHO@LAC,"$3,500"
PF,Cory Jefferson,4.6,7,CLE@BKN,"$3,500"
PG,Shelvin Mack,9.9,17,ATL@IND,"$3,500"
SF,Alonzo Gee,9.4,13,DEN@TOR,"$3,500"
SG,Marcus Thornton,10.7,16,BOS@WAS,"$3,500"
C,DeJuan Blair,2.3,6,BOS@WAS,"$3,500"
SF,Chase Budinger,8.1,17,GS@MIN,"$3,500"
C,Greg Stiemsma,4.1,6,DEN@TOR,"$3,500"
PF,Kevin Seraphin,11.2,17,BOS@WAS,"$3,500"
SF,Jordan Hamilton,13.3,60,UTA@SAC,"$3,500"
SF,Jeremy Evans,1.6,5,UTA@SAC,"$3,500"
C,Jerome Jordan,6,15,CLE@BKN,"$3,500"
SF,Landry Fields,2,6,DEN@TOR,"$3,500"
C,Festus Ezeli,6.8,13,GS@MIN,"$3,500"
